Producto                                 |   Cantidad | Precio Unitario |      Total
---------------------------------------- | ---------- | --------------- | ----------
Rustic breakfast                         |          3 |           21.32 |      63.96
Sandwich with salad                      |          5 |           22.48 |      112.4
Raw legums                               |         21 |           17.11 |     359.31
Fresh stawberry                          |          5 |           28.59 |     142.95
Pears juice                              |          3 |           19.49 |      58.47
Green smoothie                           |         22 |           17.68 |     388.96
Cuban sandwiche                          |         11 |            18.5 |      203.5
Hazelnut in black ceramic bowl           |          7 |           27.35 |     191.45
Tomatoes                                 |          2 |           26.03 |      52.06
Plums                                    |          4 |           19.18 |      76.72
Fresh blueberries                        |          7 |           21.01 |     147.07
Corn                                     |         19 |           13.55 |     257.45
French fries                             |          3 |           18.32 |      54.96
Ground beef meat burger                  |          4 |           11.73 |      46.92
Cherry                                   |          4 |           14.35 |       57.4
Homemade bread                           |          6 |           17.48 |     104.88
Smoothie with chia seeds                 |          3 |           25.26 |      75.78
Peaches on branch                        |          2 |           25.62 |      51.24
Pesto with basil                         |          2 |           18.19 |      36.38
---------------------------------------- | ---------- | --------------- | ----------
                                         |            |                 |   2,481.86

El tiempo de ejecución fue de:0.005900144577026367
